imdb_title_id,title,original_title,Combined,Poster
tt0046799,Boot Polish,Boot Polish,Boot Polish  Comedy  Drama  Family Prakash Arora  Bhanu Pratap  Bhanu Pratap  Kumari Naaz  Rattan Kumar  David Abraham  Chand Burke  Veera  Bhupendra Kapoor  Shailendra  Mohanbali  Nissar  Bhudo Advani  Prabhu Arora  Preteen brother and sister  abandoned by their father to care of an abusive prostitute aunt  survive life in an Indian squatters' camp  aided by a friendly cripple  by learning to shine shoes instead of begging ,https://image.tmdb.org/t/p/original/vL3Eiu6AIo6WV0o0hqmsfeBkBIi.jpg
tt0047561,Taxi Driver,Taxi Driver,Taxi Driver  Musical  Romance Chetan Anand  Chetan Anand  Uma Anand  Dev Anand  Kalpana Kartik  Sheila Ramani  Johnny Walker  Bhagwan Sinha  Patanjal  Shujju  Kamal Singh  Vernon Corke  Krishan Dhawan  Rashid Khan  M A  Latif  Parveen Kaul  Hamid Sayani  Mangal drives a taxi by day  then drinks at night  listens to his singer girlfriend Sylvie and then goes into a drunken stupor - and wakes up with a hangover  One day  while assisting    ,https://image.tmdb.org/t/p/original/yUBnIW6mPcpZciNTjCXYSxRI83W.jpg
tt0048392,Mr. & Mrs. '55,Mr. & Mrs. '55,Mr  & Mrs  '55  Comedy  Musical  Romance Guru Dutt  Abrar Alvi  Madhubala  Guru Dutt  Lalita Pawar  Johnny Walker  Yasmin  Kumkum  Tun Tun  Cuckoo  Radhika  Anwari  Agha  Haroon  Rooplaxmi  Moni Chatterjee  Al Nasir  A young  naive heiress  in custody of a martinet and flamingly feminist aunt is forced into a 'marriage of convenience' with an unemployed cartoonist in an attempt to save her millions - a    ,https://image.tmdb.org/t/p/original/mMtqBKVa259av6t8vKE4J57hI7M.jpg
tt0048473,Il lamento sul sentiero,Pather Panchali,Pather Panchali  Drama Satyajit Ray  Bibhutibhushan Bandyopadhyay  Satyajit Ray  Kanu Bannerjee  Karuna Bannerjee  Chunibala Devi  Uma Das Gupta  Subir Banerjee  Runki Banerjee  Reba Devi  Aparna Devi  Tulsi Chakraborty  Haren Banerjee  Rampada Das  Nibhanani Devi  Rama Gangopadhaya  Roma Ganguli  Binoy Mukherjee  Impoverished priest Harihar Ray  dreaming of a better life for himself and his family  leaves his rural Bengal village in search of work ,https://image.tmdb.org/t/p/original/frZj5djlU9hFEjMcL21RJZVuG5O.jpg
tt0048613,Shree 420,Shree 420,Shree 420  Comedy  Crime  Drama Raj Kapoor  Khwaja Ahmad Abbas  Khwaja Ahmad Abbas  Nargis  Raj Kapoor  Nadira  Nemo  Lalita Pawar  M  Kumar  Hari Shivdasani  Nana Palsikar  Bhudo Advani  Pesi Patel  Ramesh Sinha  Rashid Khan  Sheela Vaz  S P  Berry  Kathana  When a young man from a small town decides to make it big in a city  he faces several challenges ,https://image.tmdb.org/t/p/original/3AX4gqdAhrmGsSy0taHLAAQA7NI.jpg
tt0048956,L'invitto,Aparajito,Aparajito  Drama Satyajit Ray  Bibhutibhushan Bandyopadhyay  Satyajit Ray  Kamala Adhikari  Lalchand Banerjee  Kali Bannerjee  Kanu Bannerjee  Karuna Bannerjee  Panchanan Bhattacharya  Debabrata Chakraborty  Harendrakumar Chakravarti  Hemanta Chatterjee  Meenakshi Devi  Subodh Ganguli  Smaran Ghosal  Charuprakash Ghosh  Santi Gupta  Ajay Mitra  Following his father's death  a boy leaves home to study in Calcutta  while his mother must face a life alone ,https://image.tmdb.org/t/p/original/qvR2Qs42WHwCEcuwhQnterU3gVY.jpg
tt0049041,C.I.D.,C.I.D.,C I D   Action  Crime  Musical Raj Khosla  Inder Raj Anand  Dev Anand  Shakila  Johnny Walker  K N  Singh  Kumkum  Bir Sakuja  Minoo Mumtaz  Mehmood  Tun Tun  Jagdish Raj  Sheela Vaz  Prabhu Dayal  Ramesh Sharma  Paul Sharma  Sudesh Sharma  A newspaper editor gets murdered when he was about to expose the underworld links of a rich person  So  a C I D inspector gets assigned to investigate the murder case ,https://image.tmdb.org/t/p/original/bynwSdpdwTyp3qkvTAldnRQK852.jpg
tt0049072,Chori Chori,Chori Chori,Chori Chori  Comedy  Musical  Romance Anant Thakur  Agha Jani Kashmiri  Agha Jani Kashmiri  Nargis  Raj Kapoor  Gope  Master Bhagwan  Pran  David Abraham  Mukri  Raj Mehra  Indira Bansal  Amir Banu  Rajasulochana  Neelam  Johnny Walker  Maruti  A spoiled rich girl on the run travels with a reporter looking for a news scoop ,https://image.tmdb.org/t/p/original/daOODQwUpm9v8JqHBPiiWvaXPlt.jpg
tt0049378,Jagte Raho,Jagte Raho,Jagte Raho  Comedy  Drama Amit Mitra  Sombhu Mitra  Khwaja Ahmad Abbas  Amit Mitra  Pradeep Kumar  Sumitra Devi  Smriti Biswas  Pahadi Sanyal  Sulochana Chatterjee  Daisy Irani  Nemo  Motilal  Nana Palsikar  Iftekhar  Vikram Kapoor  Moni Chatterjee  Parsuram  Bhupendra Kapoor  Krishnakant  An innocent guy who has arrived from a village to Kolkata gets himself involved into trouble in search of water after he gets thirsty in the middle of the night ,https://image.tmdb.org/t/p/original/piWDLyCKXSgHhA3fC2ayHRcRzLJ.jpg
tt0050188,Mother India,Mother India,Mother India  Drama  Musical  Family Mehboob Khan  Wajahat Mirza  S  Ali Raza  Nargis  Sunil Dutt  Rajendra Kumar  Raaj Kumar  Kanhaiyalal Chaturvedi  Jilloo Maa  Kumkum  Chanchal  Sheela Naik  Mukri  Siddiqui  Ram Shastri  Fakir Mohammad  Geeta  Hameeda  In this melodrama  a poverty-stricken woman raises her sons through many trials and tribulations  But no matter the struggles  always sticks to her own moral code ,https://image.tmdb.org/t/p/original/sGFxh6zT5GxgskJShD01MsqXbuT.jpg
tt0050322,Due occhi e dodici mani,Do Ankhen Barah Haath,Do Ankhen Barah Haath  Comedy  Crime  Drama Shantaram Rajaram Vankudre  G D  Madgulkar  Shantaram Rajaram Vankudre  Sandhya  Ulhas  B M  Vyas  Paul Sharma  S K  Singh  Gajendra  G  Ingawale  Chandarkar  Tyagraj  Asha Devi  Shankarrao Bhosle  Samar  Sunil  Baburao Pendharkar  Progressive  reform-minded young warden gets permission to take six surly murderers from prison to dilapidated country farm  to rehabilitate it and themselves through hard work and kindly guidance ,https://image.tmdb.org/t/p/original/sNCB2fCGirspVTPPe0EEpK89ZrH.jpg
tt0050484,Harano Sur,Harano Sur,Harano Sur  Drama  Romance Ajoy Kar  Nripendrakrishna Chatterjee  Khitish Acharya  Shishir Batabyal  Parijat Bose  Ira Chakraborty  Dhiraj Das  Lina Debi  Chandrabati Devi  Utpal Dutt  Kajari Guha  Uttam Kumar  Preeti Majumdar  Dipak Mukherjee  Haren Mukherjee  Shailen Mukherjee  Khagen Pathak  A lady doctor rescue an amnesiac patient and fells in love with him ,https://image.tmdb.org/t/p/original/goZicNQAo624cdRiZ7dCI1yLU3d.jpg
tt0050665,Madhumati,Madhumati,Madhumati  Fantasy  Musical  Mystery Bimal Roy  Ritwik Ghatak  Rajinder Singh Bedi  Dilip Kumar  Vyjayanthimala  Johnny Walker  Pran  Jayant  Tiwari  Misra  Baij Sharma  Bhudo Advani  Jagdish  Sagar  Ranjit Sood  Shivji Bhai  Tarun Bose  A young man takes shelter in a mansion when a landslide blocks his route to the railway station  Then  he finds the mansion familiar and soon learns about the story of his previous birth ,https://image.tmdb.org/t/p/original/vrrQ69whukrcuuFi7Oo7PjBaJ2K.jpg
tt0050758,Naya Daur,Naya Daur,Naya Daur  Drama  Musical  Romance B R  Chopra  Akhtar Mirza  Akhtar Mirza  Dilip Kumar  Vyjayanthimala  Ajit  Chand Usmani  Jeevan  Nasir Hussain  Manmohan Krishna  Leela Chitnis  S N  Banerjee  Pratima Devi  S  Nazir  Munshi Munakka  Ravikant  Sagar  Uma Dutt  When the son of a landlord decides to modernize his business by replacing the horse carts with buses  a horse cart rider decides to challenge him ,https://image.tmdb.org/t/p/original/k3qJFwmBKkh1BTsgagiZce0M8TY.jpg
tt0050829,Paying Guest,Paying Guest,Paying Guest  Comedy  Crime  Drama Subodh Mukherji  Nasir Hussain  Subodh Mukherji  Dev Anand  Nutan  Gajanan Jagirdar  Sajjan  Shubha Khote  Gani  Dulari  Rajendra  Chaman Puri  Sailen Bose  Gitanjali  Master Bapu  Lala Yaqoob  An incompetent lawyer gets evicted  dons the guise of an old man to gain accommodation  falls for the owner's daughter  then faces numerous life-changing challenges ,https://image.tmdb.org/t/p/original/vi1jVsmQynaO75SwtUbR6qhHDNP.jpg
tt0050870,Sete eterna,Pyaasa,Pyaasa  Drama  Musical  Romance Guru Dutt  Abrar Alvi  François-Xavier Durandy  Guru Dutt  Waheeda Rehman  Mala Sinha  Rehman  Johnny Walker  Kumkum  Leela Mishra  Shyam  Mehmood  Radheshyam  Tun Tun  Maya Dass  Moni Chatterjee  Ashita  Neel Kamal  A talented but indigent poet Vijay struggles for love and recognition in this selfish world ,https://image.tmdb.org/t/p/original/hS3NbehcPfJ5XElqjZXVD9wsDk1.jpg
tt0051117,Tumsa Nahin Dekha,Tumsa Nahin Dekha,Tumsa Nahin Dekha  Musical  Romance Nasir Hussain  Nasir Hussain  Nasir Hussain  Shammi Kapoor  Ameeta  Pran  Raj Mehra  B M  Vyas  Sheela Vaz  Kanu Roy  Ram Avtar  S K  Singh  Anjali Devi  Rajendra  M B  Shetty  S L  Puri  Harbance Kumar  Twenty years ago  after killing his brother  Sardar Rajpal flees from his hometown in Shillong and re-locates in the rural area of Assam along with his adopted daughter  Meena  He asks his    ,https://image.tmdb.org/t/p/original/mF2iw91OJUYdN9dSk4QUIu6wIXx.jpg
tt0051343,Ajantrik,Ajantrik,Ajantrik  Drama Ritwik Ghatak  Ritwik Ghatak  Subodh Ghosh  Kali Bannerjee  Gangapada Basu  Satindra Bhattacharya  Tulsi Chakraborty  Anil Chatterjee  Shriman Deepak  Kajal Gupta  Gyanesh Mukherjee  Keshto Mukherjee  Sita Mukherjee  Bimal is a taxi-driver in a small town  His taxi is his only companion and  although very battered  it is the apple of Bimal's eye  The film shows the love of taxi driver Bimal and his pathetic vehicle Jagaddal ,https://image.tmdb.org/t/p/original/68rfDvo19OtTcjNWpWiJSCuvQQM.jpg
